battery_p;grid_p;load_p;pv_p;timestamp;Selling_price_eur_kwh
0;1,24;2,63;1,39;2024-01-01 10:15:00;0,104
0;1,35;2,72;1,37;2024-01-01 10:30:00;0,104
0;0,66;2,75;2,09;2024-01-01 10:45:00;0,104
-0,45;0,22;2,13;2,37;2024-01-01 11:00:00;0,09813
0;1,34;2,8;1,46;2024-01-01 11:15:00;0,09813
0;0,72;2,49;1,77;2024-01-01 11:30:00;0,09813
-0,07;-0,04;2,01;2,12;2024-01-01 11:45:00;0,09813
-0,2;0,01;2,05;2,25;2024-01-01 12:00:00;0,10155
-0,08;0,02;2,22;2,28;2024-01-01 12:15:00;0,10155
0,07;0,02;2,2;2,12;2024-01-01 12:30:00;0,10155
0,84;-0,01;2,98;2,15;2024-01-01 12:45:00;0,10155
0,29;0,01;2,76;2,46;2024-01-01 13:00:00;0,09816
0;-0,11;2,42;2,53;2024-01-01 13:15:00;0,09816
0;0,11;2,47;2,35;2024-01-01 13:30:00;0,09816
0;0,14;2,37;2,24;2024-01-01 13:45:00;0,09816
0;0,59;2,48;1,9;2024-01-01 14:00:00;0,09817
0;1,66;3,33;1,67;2024-01-01 14:15:00;0,09817
0;2,72;4,08;1,36;2024-01-01 14:30:00;0,09817
0;1,82;2,74;0,92;2024-01-01 14:45:00;0,09817
0;1,88;2,59;0,7;2024-01-01 15:00:00;0,10554
0;1,81;2,38;0,57;2024-01-01 15:15:00;0,10554
0;2,15;2,58;0,43;2024-01-01 15:30:00;0,10554
0;1,94;2,22;0,28;2024-01-01 15:45:00;0,10554
0;2,73;2,88;0,16;2024-01-01 16:00:00;0,11
0;3,42;3,47;0,05;2024-01-01 16:15:00;0,11
0;3,33;3,36;0,03;2024-01-01 16:30:00;0,11
0;3,24;3,24;0;2024-01-01 16:45:00;0,11
0,02;3,26;3,28;0;2024-01-01 17:00:00;0,12004
0;2,68;2,68;0;2024-01-01 17:15:00;0,12004
0;0,79;0,79;0;2024-01-01 17:30:00;0,12004
0;1,04;1,04;0;2024-01-01 17:45:00;0,12004
0;1,34;1,34;0;2024-01-01 18:00:00;0,1315
0;1,15;1,15;0;2024-01-01 18:15:00;0,1315
0;0,69;0,69;0;2024-01-01 18:30:00;0,1315
0;0,72;0,72;0;2024-01-01 18:45:00;0,1315
0;0,81;0,82;0;2024-01-01 19:00:00;0,132
0;0,77;0,78;0;2024-01-01 19:15:00;0,132
0,01;0,74;0,74;0;2024-01-01 19:30:00;0,132
0;0,38;0,38;0;2024-01-01 19:45:00;0,132
0;0,37;0,37;0;2024-01-01 20:00:00;0,12775
0;0,38;0,38;0;2024-01-01 20:15:00;0,12775
0,01;0,7;0,71;0;2024-01-01 20:30:00;0,12775
0;2,63;2,63;0;2024-01-01 20:45:00;0,12775
0;2,7;2,7;0;2024-01-01 21:00:00;0,11348
0;3,62;3,62;0;2024-01-01 21:15:00;0,11348
0;3,28;3,28;0;2024-01-01 21:30:00;0,11348
0,01;2,39;2,4;0;2024-01-01 21:45:00;0,11348
0,01;2,97;2,98;0;2024-01-01 22:00:00;0,10918
0;3,05;3,05;0;2024-01-01 22:15:00;0,10918
0;2,42;2,42;0;2024-01-01 22:30:00;0,10918
0;3,07;3,07;0;2024-01-01 22:45:00;0,10918
0;3,07;3,07;0;2024-01-01 23:00:00;0,1072
0;3,74;3,74;0;2024-01-01 23:15:00;0,1072
0;3,65;3,65;0;2024-01-01 23:30:00;0,1072
0,01;3,06;3,08;0;2024-01-01 23:45:00;0,1072
0;4,42;4,43;0;2024-01-02 00:00:00;0,10549
0;4,43;4,43;0;2024-01-02 00:15:00;0,10549
0;2,47;2,47;0;2024-01-02 00:30:00;0,10549
0;3,07;3,07;0;2024-01-02 00:45:00;0,10549
0,02;3,8;3,83;0;2024-01-02 01:00:00;0,09009
0;3,19;3,19;0;2024-01-02 01:15:00;0,09009
0;0,92;0,92;0;2024-01-02 01:30:00;0,09009
0;0,45;0,45;0;2024-01-02 01:45:00;0,09009
0;1,8;1,81;0;2024-01-02 02:00:00;0,08427
0;3,01;3,01;0;2024-01-02 02:15:00;0,08427
0;3,04;3,04;0;2024-01-02 02:30:00;0,08427
0;3,06;3,06;0;2024-01-02 02:45:00;0,08427
0,01;2,56;2,58;0;2024-01-02 03:00:00;0,08427
0;3,04;3,04;0;2024-01-02 03:15:00;0,08427
0;3,11;3,11;0;2024-01-02 03:30:00;0,08427
0;3,08;3,08;0;2024-01-02 03:45:00;0,08427
0;2,4;2,4;0;2024-01-02 04:00:00;0,08427
0,02;3,01;3,03;0;2024-01-02 04:15:00;0,08427
0;2,99;2,99;0;2024-01-02 04:30:00;0,08427
0;3,73;3,73;0;2024-01-02 04:45:00;0,08427
0;2,64;2,64;0;2024-01-02 05:00:00;0,1
0,01;3,17;3,18;0;2024-01-02 05:15:00;0,1
0;0,6;0,6;0;2024-01-02 05:30:00;0,1
0,02;0,46;0,48;0;2024-01-02 05:45:00;0,1
0,01;0,38;0,39;0;2024-01-02 06:00:00;0,10828
0;0,38;0,38;0;2024-01-02 06:15:00;0,10828
0;0,34;0,34;0;2024-01-02 06:30:00;0,10828
0;0,34;0,34;0;2024-01-02 06:45:00;0,10828
0,02;0,34;0,36;0;2024-01-02 07:00:00;0,11385
0,02;1,17;1,19;0;2024-01-02 07:15:00;0,11385
0;3,03;3,03;0;2024-01-02 07:30:00;0,11385
0;3,17;3,17;0;2024-01-02 07:45:00;0,11385
0;0,37;0,37;0;2024-01-02 08:00:00;0,1269
0,01;0,31;0,39;0,06;2024-01-02 08:15:00;0,1269
0;0,18;0,35;0,17;2024-01-02 08:30:00;0,1269
0;0,2;0,52;0,31;2024-01-02 08:45:00;0,1269
0;0,22;0,69;0,47;2024-01-02 09:00:00;0,1195
0;1,52;2,13;0,61;2024-01-02 09:15:00;0,1195
0;2,38;3,37;0,98;2024-01-02 09:30:00;0,1195
0;2,41;3,39;0,97;2024-01-02 09:45:00;0,1195
0;1,82;3,16;1,35;2024-01-02 10:00:00;0,1106
0;1,28;3,02;1,74;2024-01-02 10:15:00;0,1106
0;1,38;2,98;1,61;2024-01-02 10:30:00;0,1106
-0,31;0,77;2,33;1,86;2024-01-02 10:45:00;0,1106
0;1,01;2,94;1,93;2024-01-02 11:00:00;0,10828
-0,2;0,01;2,65;2,84;2024-01-02 11:15:00;0,10828
-0,38;-0,04;2,06;2,48;2024-01-02 11:30:00;0,10828
-0,15;-0,92;2,02;3,1;2024-01-02 11:45:00;0,10828
-0,54;-0,01;2,05;2,6;2024-01-02 12:00:00;0,10588
-0,55;-0,04;2,07;2,65;2024-01-02 12:15:00;0,10588
-0,49;0,01;2,07;2,55;2024-01-02 12:30:00;0,10588
-0,14;0;2,05;2,19;2024-01-02 12:45:00;0,10588
2,06;0,78;5,02;2,18;2024-01-02 13:00:00;0,10015
1,39;0,75;3,95;1,8;2024-01-02 13:15:00;0,10015
-0,32;1,5;3,41;2,23;2024-01-02 13:30:00;0,10015
-0,94;2,23;2,83;1,54;2024-01-02 13:45:00;0,10015
-0,63;1,4;2,46;1,69;2024-01-02 14:00:00;0,10828
0;0,87;2,41;1,55;2024-01-02 14:15:00;0,10828
0;1,3;2,52;1,22;2024-01-02 14:30:00;0,10828
0;1,43;2,6;1,17;2024-01-02 14:45:00;0,10828
0;1,96;2,68;0,72;2024-01-02 15:00:00;0,11
0;2,25;2,74;0,49;2024-01-02 15:15:00;0,11
0;2,58;2,94;0,36;2024-01-02 15:30:00;0,11
0;3,45;3,66;0,21;2024-01-02 15:45:00;0,11
0;5,49;5,61;0,13;2024-01-02 16:00:00;0,1128
0;3,92;3,96;0,04;2024-01-02 16:15:00;0,1128
0,01;3,75;3,76;0;2024-01-02 16:30:00;0,1128
0;2,36;2,36;0;2024-01-02 16:45:00;0,1128
0;0,48;0,48;0;2024-01-02 17:00:00;0,12999
0,01;0,7;0,71;0;2024-01-02 17:15:00;0,12999
0,02;0,69;0,71;0;2024-01-02 17:30:00;0,12999
0;0,74;0,74;0;2024-01-02 17:45:00;0,12999
0;1,47;1,47;0;2024-01-02 18:00:00;0,13
0;1,28;1,28;0;2024-01-02 18:15:00;0,13
1,24;0,4;1,65;0;2024-01-02 18:30:00;0,13
0,79;1,08;1,86;0;2024-01-02 18:45:00;0,13
0;1,53;1,53;0;2024-01-02 19:00:00;0,12429
0;0,67;0,67;0;2024-01-02 19:15:00;0,12429
0,02;1,23;1,25;0;2024-01-02 19:30:00;0,12429
0;1,04;1,04;0;2024-01-02 19:45:00;0,12429
0;0,54;0,54;0;2024-01-02 20:00:00;0,11126
0;0,4;0,4;0;2024-01-02 20:15:00;0,11126
0;1,22;1,22;0;2024-01-02 20:30:00;0,11126
0,03;2,65;2,68;0;2024-01-02 20:45:00;0,11126
0;2,41;2,41;0;2024-01-02 21:00:00;0,10828
0,03;2,38;2,41;0;2024-01-02 21:15:00;0,10828
0,02;2,37;2,39;0;2024-01-02 21:30:00;0,10828
0;2,89;2,89;0;2024-01-02 21:45:00;0,10828
0;2,84;2,84;0;2024-01-02 22:00:00;0,106
0;2,62;2,62;0;2024-01-02 22:15:00;0,106
0;3,49;3,49;0;2024-01-02 22:30:00;0,106
0,01;2,32;2,34;0;2024-01-02 22:45:00;0,106
0,03;3,05;3,08;0;2024-01-02 23:00:00;0,09241
0;2,57;2,57;0;2024-01-02 23:15:00;0,09241
0;2,99;2,99;0;2024-01-02 23:30:00;0,09241
0;3,03;3,03;0;2024-01-02 23:45:00;0,09241
0;3;3;0;2024-01-03 00:00:00;0,0825
0;2,28;2,28;0;2024-01-03 00:15:00;0,0825
0;2,86;2,86;0;2024-01-03 00:30:00;0,0825
0;3;3;0;2024-01-03 00:45:00;0,0825
0;3;3;0;2024-01-03 01:00:00;0,0701
0;3,01;3,01;0;2024-01-03 01:15:00;0,0701
0;2,45;2,45;0;2024-01-03 01:30:00;0,0701
0;3,12;3,12;0;2024-01-03 01:45:00;0,0701
0;2,27;2,27;0;2024-01-03 02:00:00;0,05021
0,03;0,44;0,47;0;2024-01-03 02:15:00;0,05021
0,01;0,39;0,4;0;2024-01-03 02:30:00;0,05021
0;1,99;1,99;0;2024-01-03 02:45:00;0,05021
0;2,98;2,98;0;2024-01-03 03:00:00;0,04
0;3,1;3,1;0;2024-01-03 03:15:00;0,04
0;3,18;3,18;0;2024-01-03 03:30:00;0,04
0,02;0,38;0,4;0;2024-01-03 03:45:00;0,04
0;0,42;0,42;0;2024-01-03 04:00:00;0,05
0;1,75;1,75;0;2024-01-03 04:15:00;0,05
1,18;1,84;3,01;0;2024-01-03 04:30:00;0,05
0;3,07;3,07;0;2024-01-03 04:45:00;0,05
0;3,16;3,16;0;2024-01-03 05:00:00;0,075
0;0,44;0,44;0;2024-01-03 05:15:00;0,075
0;0,39;0,39;0;2024-01-03 05:30:00;0,075
0;1,17;1,18;0;2024-01-03 05:45:00;0,075
0,02;2,9;2,91;0;2024-01-03 06:00:00;0,09546
0;3,08;3,08;0;2024-01-03 06:15:00;0,09546
0;4,5;4,5;0;2024-01-03 06:30:00;0,09546
0;2,45;2,45;0;2024-01-03 06:45:00;0,09546
0;3,21;3,21;0;2024-01-03 07:00:00;0,10828
0,01;0,47;0,48;0;2024-01-03 07:15:00;0,10828
0;1,95;1,95;0;2024-01-03 07:30:00;0,10828
0;4,66;4,66;0;2024-01-03 07:45:00;0,10828
0,01;6,2;6,22;0;2024-01-03 08:00:00;0,11553
0,01;4,33;4,35;0,01;2024-01-03 08:15:00;0,11553
0;3,03;3,08;0,05;2024-01-03 08:30:00;0,11553
0;2,88;2,96;0,08;2024-01-03 08:45:00;0,11553
0;2,94;3,05;0,11;2024-01-03 09:00:00;0,11499
0;3,6;3,73;0,13;2024-01-03 09:15:00;0,11499
0;4,17;4,32;0,15;2024-01-03 09:30:00;0,11499
0;2,19;2,49;0,31;2024-01-03 09:45:00;0,11499
0,17;-0,01;2,03;1,87;2024-01-03 10:00:00;0,1093
-0,09;-0,01;2,92;3,01;2024-01-03 10:15:00;0,1093
-0,48;0,02;2,86;3,32;2024-01-03 10:30:00;0,1093
-1,27;-0,02;2,16;3,44;2024-01-03 10:45:00;0,1093
-1,31;0;2,22;3,53;2024-01-03 11:00:00;0,10801
-1,33;-0,06;2,21;3,59;2024-01-03 11:15:00;0,10801
-1,35;0,04;2,28;3,58;2024-01-03 11:30:00;0,10801
-1,3;-0,01;2,26;3,56;2024-01-03 11:45:00;0,10801
-1,27;-0,02;2,2;3,49;2024-01-03 12:00:00;0,09496
-0,44;-0,01;2,89;3,34;2024-01-03 12:15:00;0,09496
1,27;0,17;4,66;3,22;2024-01-03 12:30:00;0,09496
1,83;0,31;5,14;2,99;2024-01-03 12:45:00;0,09496
0,58;0,13;3,55;2,85;2024-01-03 13:00:00;0,0924
0,65;-0,31;2,98;2,64;2024-01-03 13:15:00;0,0924
0,28;-0,03;2,58;2,34;2024-01-03 13:30:00;0,0924
0,57;0;2,67;2,1;2024-01-03 13:45:00;0,0924
0,55;0;2,53;1,98;2024-01-03 14:00:00;0,09757
0,75;-0,03;2,52;1,8;2024-01-03 14:15:00;0,09757
1,84;0,52;3,95;1,59;2024-01-03 14:30:00;0,09757
0;4,22;5,31;1,09;2024-01-03 14:45:00;0,09757
0;3,7;3,83;0,13;2024-01-03 15:00:00;0,10681
0;4,08;4,2;0,11;2024-01-03 15:15:00;0,10681
0;3,9;4;0,1;2024-01-03 15:30:00;0,10681
0;4,68;4,76;0,08;2024-01-03 15:45:00;0,10681
0;4,09;4,14;0,05;2024-01-03 16:00:00;0,11
0;2,45;2,47;0,02;2024-01-03 16:15:00;0,11
0;0,41;0,41;0;2024-01-03 16:30:00;0,11
0;0,47;0,47;0;2024-01-03 16:45:00;0,11
0;1,52;1,52;0;2024-01-03 17:00:00;0,11581
0;1,35;1,35;0;2024-01-03 17:15:00;0,11581
0;1,08;1,08;0;2024-01-03 17:30:00;0,11581
0;1,07;1,07;0;2024-01-03 17:45:00;0,11581
0,01;2,38;2,4;0;2024-01-03 18:00:00;0,11581
0,02;0,6;0,62;0;2024-01-03 18:15:00;0,11581
0;0,56;0,56;0;2024-01-03 18:30:00;0,11581
0,01;0,93;0,95;0;2024-01-03 18:45:00;0,11581
0;1,39;1,39;0;2024-01-03 19:00:00;0,11581
0,01;1,43;1,44;0;2024-01-03 19:15:00;0,11581
0,02;2,5;2,52;0;2024-01-03 19:30:00;0,11581
0,03;2,2;2,23;0;2024-01-03 19:45:00;0,11581
0;0,93;0,93;0;2024-01-03 20:00:00;0,109
0;2,5;2,5;0;2024-01-03 20:15:00;0,109
0;3,14;3,14;0;2024-01-03 20:30:00;0,109
0;3,16;3,16;0;2024-01-03 20:45:00;0,109
0;3,3;3,3;0;2024-01-03 21:00:00;0,106
0;3,19;3,19;0;2024-01-03 21:15:00;0,106
0;2,95;2,95;0;2024-01-03 21:30:00;0,106
0;3,01;3,01;0;2024-01-03 21:45:00;0,106
0;3,05;3,05;0;2024-01-03 22:00:00;0,10146
0;2,74;2,74;0;2024-01-03 22:15:00;0,10146
0;3,24;3,24;0;2024-01-03 22:30:00;0,10146
0;4,5;4,5;0;2024-01-03 22:45:00;0,10146
0;2,46;2,46;0;2024-01-03 23:00:00;0,08259
0;0,47;0,47;0;2024-01-03 23:15:00;0,08259
0;2,39;2,39;0;2024-01-03 23:30:00;0,08259
0;2,64;2,64;0;2024-01-03 23:45:00;0,08259
0;3,09;3,09;0;2024-01-04 00:00:00;0,07419
0;3,13;3,13;0;2024-01-04 00:15:00;0,07419
0;3,79;3,79;0;2024-01-04 00:30:00;0,07419
0;2,36;2,36;0;2024-01-04 00:45:00;0,07419
0;3,15;3,15;0;2024-01-04 01:00:00;0,065
0;0,44;0,44;0;2024-01-04 01:15:00;0,065
0;0,39;0,39;0;2024-01-04 01:30:00;0,065
0;1,09;1,09;0;2024-01-04 01:45:00;0,065
0;2,72;2,72;0;2024-01-04 02:00:00;0,04
0;2,92;2,92;0;2024-01-04 02:15:00;0,04
0;3;3;0;2024-01-04 02:30:00;0,04
0;2,54;2,54;0;2024-01-04 02:45:00;0,04
0;3,04;3,04;0;2024-01-04 03:00:00;0,0352
0;3,14;3,14;0;2024-01-04 03:15:00;0,0352
0;1,3;1,3;0;2024-01-04 03:30:00;0,0352
0;0,34;0,34;0;2024-01-04 03:45:00;0,0352
0;0,34;0,34;0;2024-01-04 04:00:00;0,04939
0;0,35;0,35;0;2024-01-04 04:15:00;0,04939
0;0,38;0,38;0;2024-01-04 04:30:00;0,04939
0;0,77;0,78;0;2024-01-04 04:45:00;0,04939
0;3,8;3,8;0;2024-01-04 05:00:00;0,0701
0;4;4;0;2024-01-04 05:15:00;0,0701
0,02;1,19;1,21;0;2024-01-04 05:30:00;0,0701
0;0,46;0,46;0;2024-01-04 05:45:00;0,0701
0;0,41;0,41;0;2024-01-04 06:00:00;0,09761
0;0,36;0,36;0;2024-01-04 06:15:00;0,09761
0;0,38;0,38;0;2024-01-04 06:30:00;0,09761
0;0,39;0,39;0;2024-01-04 06:45:00;0,09761
0;0,4;0,4;0;2024-01-04 07:00:00;0,10651
0;1,18;1,18;0;2024-01-04 07:15:00;0,10651
0;1,19;1,19;0;2024-01-04 07:30:00;0,10651
0,01;1,19;1,2;0;2024-01-04 07:45:00;0,10651
0,01;1,09;1,1;0;2024-01-04 08:00:00;0,11
0;1,86;1,93;0,07;2024-01-04 08:15:00;0,11
0;2,86;3;0,14;2024-01-04 08:30:00;0,11
0;3;3,17;0,17;2024-01-04 08:45:00;0,11
0;0,54;0,71;0,16;2024-01-04 09:00:00;0,10838
0;0,74;0,9;0,16;2024-01-04 09:15:00;0,10838
0;3,11;3,27;0,16;2024-01-04 09:30:00;0,10838
0;3,91;4,33;0,42;2024-01-04 09:45:00;0,10838
-0,59;1,32;2,58;1,85;2024-01-04 10:00:00;0,09783
-0,11;-0,02;2,99;3,12;2024-01-04 10:15:00;0,09783
-1,06;0,01;2,34;3,38;2024-01-04 10:30:00;0,09783
-1,34;0,01;2,15;3,49;2024-01-04 10:45:00;0,09783
-1,68;0;1,91;3,58;2024-01-04 11:00:00;0,08995
-1,69;-0,02;1,91;3,61;2024-01-04 11:15:00;0,08995
-1,66;0;1,97;3,63;2024-01-04 11:30:00;0,08995
-1,62;0,01;1,99;3,6;2024-01-04 11:45:00;0,08995
-1,54;0;1,99;3,53;2024-01-04 12:00:00;0,08621
-1,4;0,02;2;3,38;2024-01-04 12:15:00;0,08621
-0,62;-0,57;2,03;3,23;2024-01-04 12:30:00;0,08621
-0,28;-0,03;2,7;3,01;2024-01-04 12:45:00;0,08621
-0,66;-0,04;2,16;2,86;2024-01-04 13:00:00;0,08596
0,19;0,01;2,78;2,58;2024-01-04 13:15:00;0,08596
-0,36;-0,01;2,11;2,48;2024-01-04 13:30:00;0,08596
-0,09;0;2,15;2,24;2024-01-04 13:45:00;0,08596
0,24;-0,02;2,27;2,05;2024-01-04 14:00:00;0,09211
0,6;-0,09;2,35;1,84;2024-01-04 14:15:00;0,09211
0,82;0;2,41;1,58;2024-01-04 14:30:00;0,09211
1,36;0,01;2,58;1,21;2024-01-04 14:45:00;0,09211
2,67;-0,01;2,76;0,1;2024-01-04 15:00:00;0,10334
2,85;-0,03;2,89;0,07;2024-01-04 15:15:00;0,10334
2,96;0;3;0,04;2024-01-04 15:30:00;0,10334
3,03;0;3,07;0,04;2024-01-04 15:45:00;0,10334
0;3,01;3,06;0,05;2024-01-04 16:00:00;0,11002
0;3,12;3,12;0;2024-01-04 16:15:00;0,11002
0;2,24;2,24;0;2024-01-04 16:30:00;0,11002
0,01;0,27;0,28;0;2024-01-04 16:45:00;0,11002
0,02;0,43;0,45;0;2024-01-04 17:00:00;0,11687
0,02;0,43;0,45;0;2024-01-04 17:15:00;0,11687
0,01;0,4;0,41;0;2024-01-04 17:30:00;0,11687
0,01;0,44;0,44;0;2024-01-04 17:45:00;0,11687
0;0,6;0,6;0;2024-01-04 18:00:00;0,1181
0;0,7;0,7;0;2024-01-04 18:15:00;0,1181
0;3,38;3,38;0;2024-01-04 18:30:00;0,1181
2,3;0,88;3,17;0;2024-01-04 18:45:00;0,1181
0;1,23;1,23;0;2024-01-04 19:00:00;0,1181
0;1,08;1,08;0;2024-01-04 19:15:00;0,1181
0;0,78;0,78;0;2024-01-04 19:30:00;0,1181
0;0,72;0,73;0;2024-01-04 19:45:00;0,1181
0;1,55;1,55;0;2024-01-04 20:00:00;0,11299
0;2,98;2,98;0;2024-01-04 20:15:00;0,11299
0;3,05;3,06;0;2024-01-04 20:30:00;0,11299
0,02;3;3,02;0;2024-01-04 20:45:00;0,11299
0;2,67;2,67;0;2024-01-04 21:00:00;0,10705
0,02;2,68;2,7;0;2024-01-04 21:15:00;0,10705
0;3,25;3,25;0;2024-01-04 21:30:00;0,10705
0;3,32;3,32;0;2024-01-04 21:45:00;0,10705
0;4,08;4,08;0;2024-01-04 22:00:00;0,10559
0;3,34;3,34;0;2024-01-04 22:15:00;0,10559
0;3,4;3,4;0;2024-01-04 22:30:00;0,10559
0;3,43;3,43;0;2024-01-04 22:45:00;0,10559
0;1,48;1,48;0;2024-01-04 23:00:00;0,09798
0;0,42;0,42;0;2024-01-04 23:15:00;0,09798
0;0,61;0,61;0;2024-01-04 23:30:00;0,09798
0;2,79;2,79;0;2024-01-04 23:45:00;0,09798
0;3,04;3,04;0;2024-01-05 00:00:00;0,08608
0;3,08;3,08;0;2024-01-05 00:15:00;0,08608
0;3,09;3,09;0;2024-01-05 00:30:00;0,08608
0;2,41;2,41;0;2024-01-05 00:45:00;0,08608
0;3,1;3,1;0;2024-01-05 01:00:00;0,08896
0;1,32;1,32;0;2024-01-05 01:15:00;0,08896
0;1,05;1,05;0;2024-01-05 01:30:00;0,08896
0;1,07;1,07;0;2024-01-05 01:45:00;0,08896
0;1,53;1,53;0;2024-01-05 02:00:00;0,0785
0;3,08;3,08;0;2024-01-05 02:15:00;0,0785
0;3,19;3,19;0;2024-01-05 02:30:00;0,0785
0;2,39;2,39;0;2024-01-05 02:45:00;0,0785
0;0,38;0,38;0;2024-01-05 03:00:00;0,0785
0;0,36;0,36;0;2024-01-05 03:15:00;0,0785
0;0,35;0,35;0;2024-01-05 03:30:00;0,0785
0;0,38;0,38;0;2024-01-05 03:45:00;0,0785
0;0,43;0,43;0;2024-01-05 04:00:00;0,07939
0;1,13;1,13;0;2024-01-05 04:15:00;0,07939
0;2,14;2,14;0;2024-01-05 04:30:00;0,07939
1,18;2,05;3,23;0;2024-01-05 04:45:00;0,07939
0;1,4;1,4;0;2024-01-05 05:00:00;0,0796
0;0,44;0,44;0;2024-01-05 05:15:00;0,0796
0;0,6;0,6;0;2024-01-05 05:30:00;0,0796
0;0,53;0,54;0;2024-01-05 05:45:00;0,0796
0;0,41;0,41;0;2024-01-05 06:00:00;0,10346
0;0,41;0,41;0;2024-01-05 06:15:00;0,10346
0;0,39;0,39;0;2024-01-05 06:30:00;0,10346
0,03;0,38;0,41;0;2024-01-05 06:45:00;0,10346
0,01;1,04;1,05;0;2024-01-05 07:00:00;0,11119
0,01;2,43;2,45;0;2024-01-05 07:15:00;0,11119
0;3,04;3,04;0;2024-01-05 07:30:00;0,11119
0;2,91;2,91;0;2024-01-05 07:45:00;0,11119
0;0,37;0,37;0;2024-01-05 08:00:00;0,115
0;0,5;0,5;0;2024-01-05 08:15:00;0,115
0,01;0,52;0,57;0,03;2024-01-05 08:30:00;0,115
0;0,38;0,48;0,09;2024-01-05 08:45:00;0,115
0;0,94;1,02;0,08;2024-01-05 09:00:00;0,1204
0;1,24;1,37;0,13;2024-01-05 09:15:00;0,1204
0;3,16;3,26;0,11;2024-01-05 09:30:00;0,1204
0;4,92;5,19;0,27;2024-01-05 09:45:00;0,1204
0;3,11;3,29;0,19;2024-01-05 10:00:00;0,11472
0;2,41;2,64;0,23;2024-01-05 10:15:00;0,11472
0;2,15;2,48;0,33;2024-01-05 10:30:00;0,11472
0;2,82;3,06;0,24;2024-01-05 10:45:00;0,11472
0;2,05;2,41;0,36;2024-01-05 11:00:00;0,11289
0;2,39;2,69;0,3;2024-01-05 11:15:00;0,11289
0;1,94;2,28;0,35;2024-01-05 11:30:00;0,11289
0;1,61;2,01;0,4;2024-01-05 11:45:00;0,11289
0;1,99;2,27;0,27;2024-01-05 12:00:00;0,11248
0;3,12;3,49;0,37;2024-01-05 12:15:00;0,11248
0;2,68;3,29;0,6;2024-01-05 12:30:00;0,11248
0;1,61;2,08;0,47;2024-01-05 12:45:00;0,11248
0;1,9;2,14;0,25;2024-01-05 13:00:00;0,11073
0;2,02;2,25;0,23;2024-01-05 13:15:00;0,11073
0;2,1;2,3;0,2;2024-01-05 13:30:00;0,11073
0;2,11;2,28;0,17;2024-01-05 13:45:00;0,11073
0;4,17;4,3;0,13;2024-01-05 14:00:00;0,112
0;3,08;3,17;0,09;2024-01-05 14:15:00;0,112
0;2,94;3,02;0,08;2024-01-05 14:30:00;0,112
0;3,16;3,22;0,06;2024-01-05 14:45:00;0,112
0;4,76;4,82;0,06;2024-01-05 15:00:00;0,11217
0;3,61;3,64;0,03;2024-01-05 15:15:00;0,11217
0;3,71;3,71;0;2024-01-05 15:30:00;0,11217
